,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location,Translated
93,GlasshouseBill,Bill N,"@chrisloder said the same thing about Truss just the other day. #Conservatives - embarrassing us all 
Get rid. #EnoughIsEnough
""It is clear to me that the person best placed to do this is @RishiSunak  #Ready4Rishi and I am very pleased to support him with my vote on Monday""","['Chris Loder MP', 'Rishi Sunak']",2022-11-02 12:42:54+00:00,0,0,way down south where the wild,
94,RAMAKANT382002,RAMA KANT,"@Ready4Rishi: Wow! Thank you to everyone who came to support Rishi in last night’s hustings

🗳Voting closes at 5pm tomorrow so cast your…",['Ready 4 Rishi'],2022-11-02 12:11:28+00:00,1,0,,
95,Jaggu2907,Jagadeesh Kumar,"@im_aathmika: Congratulations #RishiSunak on becoming the first Indian origin Prime minister for UK!!! 

#Ready4Rishi 
@RishiSunak","['Aathmika', 'Rishi Sunak']",2022-11-02 03:31:52+00:00,1,0,Chittoor ,
96,aquarules1,Amir A,"@owainpj: I do hope all the #Ready4Rishi folks had already secured their positions !

""The news marks a turnaround for Mr Odey, whose be…",['Owain Powell-Jones'],2022-11-02 00:10:26+00:00,1,0,,
97,woolengsu,woolengsu.eth,"@Ready4Rishi: 🚨This Thursday at 12:00, Rishi will be live on Facebook &amp; YouTube 𝐚𝐧𝐬𝐰𝐞𝐫𝐢𝐧𝐠 𝐲𝐨𝐮𝐫 𝐪𝐮𝐞𝐬𝐭𝐢𝐨𝐧𝐬

Sign up and #AskRishi anything…",['Ready 4 Rishi'],2022-11-01 23:54:24+00:00,1,0,Lao People'S Democratic Republic,
98,cicikmei2solo,cicikmei,"Ready siang -malam yukk
Exclude only yahhh
#wpsolo #panloksolo  #availsolo  #readysolo  #ready4rishi  #bookingansolo #exposolo  #BOSolo  #SOLOCOD  #solobirahi  #solomendesah  #sololendir  #solonakal #zonauang  #infobosolo #kimcilsolo #morningsex https://t.co/gBAFBe3KBT",[],2022-11-01 23:12:37+00:00,0,2,"Surakarta, Jawa Tengah",
99,chowkidardamdar,shivay,@kevinhollinrake: 👇🏻 #ready4rishi https://t.co/SFJo6uHaPI,['Kevin Hollinrake MP'],2022-11-01 21:22:11+00:00,1,0,,
100,chowkidardamdar,shivay,"@JacobYoungMP: I’ve known @RishiSunak since he turned up in Northallerton seven years ago.

He has been a fantastic champion for our reg…","['Jacob Young MP', 'Rishi Sunak']",2022-11-01 21:22:02+00:00,1,0,,
101,chowkidardamdar,shivay,"@DamianHinds: Today’s the day :: online voting closes 5pm

If you’re yet to vote, I hope you’ll support @RishiSunak, his compelling visi…","['Damian Hinds', 'Rishi Sunak']",2022-11-01 21:20:46+00:00,1,0,,
102,chowkidardamdar,shivay,@twocitiesnickie: Not long before the polls close but still time for @Conservatives members to vote for the next Party Leader and PM. #R…,"['Nickie Aiken MP #TwoCities', 'Conservatives']",2022-11-01 21:20:42+00:00,1,0,,
