,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location
520,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@MainwalPriyanka: 15 अगस्त को आजादी की 75 वीं वर्षगांठ है, तो इसे आजादी का अमृत महोत्सव के रूप में मना रहे हैं।

#HarGharTiranga #JaiHin…",['Priyanka Mainwal'],2022-08-19 14:55:58+00:00,1,0,Jalandhar
521,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@LaturNyk: नेहरू युवा केंद्र लातूर तर्फे स्वच्छता पखवाडा व हर घर तिरंगा रॅली भाई किषणराव देशमुख महाविद्यालय ता. चाकूर जि. लातूर येथे संप…,['NYK Latur'],2022-08-19 14:55:55+00:00,1,0,Jalandhar
522,abhisagar6798,Abhisagar6798,"@nykskarnataka: Independence Day Celebrations at Regional Director’s Office ,NYK ,Bangalore #IndiaAt75 #HarGharTiranga #IndependenceDay2…",['NYKS KARNATAKA'],2022-08-19 14:55:49+00:00,1,0,
523,abhisagar6798,Abhisagar6798,"@Nyksindia: साथी हाथ बढ़ाना, मिलकर आगे बढ़ते जाना, मिलकर सभी ये
आजादी का अमृत महोत्सव मनाना !

#HarGharTiranga #IndependenceDay2022 #Aza…",['NYKS India'],2022-08-19 14:55:46+00:00,1,0,
524,Iambobby45,𝔹𝕠𝕓𝕓𝕪,"@PrabhasKTDM: #HarGharTiranga at @_PVRCinemas 

As I came to know by my Friend that Har Ghar Tiranga is Played at PVR booked Tickets for…","['Prabhas FC Kothagudem™', 'P V R C i n e m a s']",2022-08-19 14:55:44+00:00,1,0,
525,abhisagar6798,Abhisagar6798,@Nyksindia: Today is a Day to feel proud about being part of this great nation. May this spirit of freedom lead us all to success and gl…,['NYKS India'],2022-08-19 14:55:39+00:00,1,0,
526,abhisagar6798,Abhisagar6798,"@Nyksindia: Happy Independence Day to all!!
Lets your spirits fly high with the India Flag today.

#HarGharTiranga #AzadiKaAmritMahotsav…",['NYKS India'],2022-08-19 14:55:36+00:00,1,0,
527,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@PreetSi08063348: नेहरू युवा केंद्र मुजफ्फरनगर से जुड़े मोरना ब्लाक के गांव फिरोजपुर में यूथ क्लब के आजादी के रोबिन पाल के नेतृत्व में क…,['Preeti pal'],2022-08-19 14:55:34+00:00,1,0,Jalandhar
528,abhisagar6798,Abhisagar6798,"@Nyksindia: Wish you a very Happy Independence Day. May the tricolour always fly high and higher and touch the sky.

#HarGharTiranga  #I…",['NYKS India'],2022-08-19 14:55:32+00:00,1,0,
529,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@ReemaGange: गंगा घाट में #GangaDoot #Spearhead द्वारा जिला परियोजना अधिकारी के नेतृत्व में हुगली जिला मे #HarGharTiranga कार्यक्रम किया…,"['Reema Samanta D.P.O NYKS Namami Gange- Hooghly,W.B']",2022-08-19 14:55:29+00:00,1,0,Jalandhar
